공원명,공원주소,시군구명,소분류,분류
망우산 사색의 길,02178 서울 중랑구 망우로 570 (망우묘지관리사무소) , 중랑구 ,산책로,관광자연
서울 둘레길 코스 안내,  ,,산책로,관광자연
토성산성어울길, 서울특별시 송파구 올림픽로 424  (방이동) 올림픽공원, 송파구 ,산책로,관광자연
화랑로 낙엽거리,01805 서울특별시 노원구 공릉동 육군사관학교 일대 , 노원구 ,산책로,관광자연
살곶이길,04792 서울 성동구 광나루로 200 , 성동구 ,산책로,관광자연
소월길,  ,,산책로,관광자연
서순라길,03139 서울 종로구 종로 지하 129 (1호선 종로3가역) , 종로구 ,산책로,관광자연
경의선 숲길, 서울시 마포구 연남동 , 마포구 ,산책로,관광자연
마포구 메타세쿼이아 숲길,"03900 서울 마포구 하늘공원로 95 (상암동, 탐방객안내소) 메타세쿼이아 숲길", 마포구 ,산책로,관광자연
가을단풍길 - 남산남측순환로,04340 서울 용산구 남산공원길 126 (용산동2가) , 용산구 ,산책로,관광자연
개화산 ,"07601 서울 강서구 양천로 22 (방화동, 개화산역) 개화산 ", 강서구 ,산,관광자연
백련산,03651 서울 서대문구 홍은동 , 서대문구 ,산,관광자연
매봉산 야경,  , 중구 ,산,관광자연
안산,03721  , 서대문구 ,산,관광자연
도봉산,"132-010 서울특별시 도봉구 도봉동 경기 의정부시, 양주시 장흥면 일대 ", 도봉구 ,산,관광자연
인왕산 야경,03023 서울 종로구 통일로18나길 3 , 종로구 ,산,관광자연
백악(북악)산 (서울 한양도성),03038 서울 종로구 옥인6길 26-17 , 종로구 ,산,관광자연
인왕산,110-080 서울특별시 종로구 통일로18가길 20  (무악동) , 종로구 ,산,관광자연
남산서울타워 야경,"04340 서울 용산구 남산공원길 105 (용산동2가, YTN서울타워) ", 용산구 ,산,관광자연
아차산,04948 서울 광진구 영화사로 135 (아차산등산로 입구) , 광진구 ,산,관광자연
불암산,01716 서울특별시 노원구 덕릉로94길 73 (중계동) , 노원구 ,산,관광자연
수락산,139-200 서울특별시 노원구 상계동 일대 , 노원구 ,산,관광자연
북악산 야경,"03010 서울 종로구 북악산로 267 (평창동, 북악팔각정) ", 종로구 ,산,관광자연
봉산 ,03424 서울 은평구 서오릉로23길 8-5 (수국사) , 은평구 ,산,관광자연
응봉산 야경,04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) , 성동구 ,산,관광자연
관악산,151-019 서울특별시 관악구 대학동 일대 , 관악구 ,산,관광자연
지양산,08037 서울 양천구 신월동  산 158-1, 양천구 ,산,관광자연
응봉산 팔각정 ,04743 서울 성동구 독서당로 362 (응봉산팔각정 공중화장실) , 성동구 ,산,관광자연
중랑천 제방, 서울특별시 중랑구 면목동 일대 , 중랑구 ,하천,관광자연
석촌호수 야경,05608 서울 송파구 삼학사로 136 (잠실동) , 송파구 ,하천,관광자연
청계천,03187 서울 종로구 무교로 37 (서린동) , 종로구 ,하천,관광자연
불광천 해담는다리,03680 서울 서대문구 불광천길 156 , 서대문구 ,하천,관광자연
노들섬,04427 서울 용산구 양녕로 445 (이촌동) 노들섬 , 용산구 ,하천,관광자연
서래섬,"06500 서울 서초구 신반포로11길 40 (반포동, 한강공원 반포 안내센터) ", 서초구 ,하천,관광자연
우이동계곡,01000 서울 강북구 삼양로181길 141-5 (우이산장) , 강북구 ,하천,관광자연
불광천, 서울 은평구 불광동 서대문구 북가좌동 일대 , 은평구 ,하천,관광자연
홍제천,"120-090 서울특별시 서대문구 홍제동 종로구, 서대문구, 마포구 일대 ", 서대문구 ,하천,관광자연
뚝섬유원지,05097 서울특별시 광진구 강변북로 139  (자양동) , 광진구 ,하천,관광자연
백사실계곡,03019 서울 종로구 세검정로6길 98 , 종로구 ,하천,관광자연
수성동계곡,03034 서울 종로구 옥인동 185-3 수성동 계곡, 종로구 ,하천,관광자연
진관사계곡,"03308 서울 은평구 진관길 73 (진관동, 진관사) ", 은평구 ,하천,관광자연
양재천&탄천,  , 서초구 ,하천,관광자연
한강,07243 서울 영등포구 여의공원로 68 , 영등포구 ,하천,관광자연
삼천사계곡,"03308 서울 은평구 연서로54길 127 (진관동, 삼천사) 인근", 은평구 ,하천,관광자연
북서울꿈의숲,01228 서울특별시 강북구 월계로 173  (번동) , 강북구 ,그외,관광자연
금선사,"03000 서울 종로구 비봉길 137 (구기동, 금선사) ", 종로구 ,그외,관광자연
광진숲나루,04982 서울 광진구 광장로 11 , 광진구 ,그외,관광자연
춘당지,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) ", 종로구 ,그외,관광자연
홍릉시험림(홍릉숲),"02455 서울 동대문구 회기로 57 (청량리동, 국립산림과학원) ", 동대문구 ,그외,관광자연
양재시민의 숲,06773 서울특별시 서초구 매헌로 99 (양재동) , 서초구 ,그외,관광자연
몽촌토성,05540 서울특별시 송파구 올림픽로 424  (방이동) , 송파구 ,그외,관광자연
푸른수목원,"08361 서울 구로구 연동로 240 (항동, 푸른수목원) ", 구로구 ,그외,관광자연
중랑캠핑숲,"02062 서울 중랑구 망우로87길 110 (망우동, 캠핑장관리소) 중랑캠핑장", 중랑구 ,그외,관광자연
노원우주학교,01779 서울 노원구 동일로 동일로 205길 13 노원우주학교 , 노원구 ,그외,관광자연
문화비축기지,03914 서울 마포구 증산로 87 (성산동) , 마포구 ,그외,관광자연
녹사평역 지하예술정원,"04353 서울 용산구 녹사평대로 지하 195 (용산동4가, 6호선 녹사평역) ", 용산구 ,그외,관광자연
서울숲,04770 서울특별시 성동구 뚝섬로 273  (성수동1가) , 성동구 ,그외,관광자연
서울식물원,"07789 서울 강서구 마곡동로 161 (마곡동, 서울식물원) ", 강서구 ,그외,관광자연
